orig_source	seqid	short_seqid	label	taxon	kingdom	phylum	klass	order	family	master_seqid	orig_seqid	exons	adj_exons
bothref99_annots.tsv	BGC0000064__AAT28740.1	BGC0000064__AAT28740.1	fusA|NRP/Polyketide (fusarin)|FUSS (biosynthetic)	Fusarium verticillioides	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	BGC0000064__AAT28740.1	None	None	None
bothref99_annots.tsv	BGC0000070__ADI24953.1	BGC0000070__ADI24953.1	GsfA|Polyketide (griseofulvin/epidechlorogriseofulvin/norlichexanthone/dehydrogriseofulvin/4-desmethylgriseofulvin/griseoxanthone B)|GsfA (biosynthetic)	Penicillium aethiopicum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000070__ADI24953.1	None	None	None
bothref99_annots.tsv	BGC0000076__ACD39753.1	BGC0000076__ACD39753.1	hpm3|Polyketide (hypothemycin)|non-reducing polyketide synthase (biosynthetic)	Hypomyces subiculosus	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	BGC0000076__ACD39753.1	None	None	None
bothref99_annots.tsv	BGC0000076__ACD39758.1	BGC0000076__ACD39758.1	hpm8|Polyketide (hypothemycin)|reducing polyketide synthase (biosynthetic)	Hypomyces subiculosus	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	BGC0000076__ACD39758.1	None	None	None
bothref99_annots.tsv	BGC0000077__ACD39762.1	BGC0000077__ACD39762.1	hpm3|Polyketide (hypothemycin)|non-reducing polyketide synthase (biosynthetic)	Hypomyces subiculosus	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	BGC0000076__ACD39753.1	None	None	None
bothref99_annots.tsv	BGC0000077__ACD39767.1	BGC0000077__ACD39767.1	hpm8|Polyketide (hypothemycin)|reducing polyketide synthase (biosynthetic)	Hypomyces subiculosus	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	BGC0000076__ACD39758.1	None	None	None
bothref99_annots.tsv	BGC0000088__AAD34559.1	BGC0000088__AAD34559.1	lovF|Polyketide (monacolin K)|polyketide synthase (biosynthetic)	Aspergillus terreus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000088__AAD34559.1	None	None	None
bothref99_annots.tsv	BGC0000098__ABA02239.1	BGC0000098__ABA02239.1	mkA|Polyketide (monacolin K)|polyketide synthase (biosynthetic)	Monascus pilosus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000098__ABA02239.1	None	None	None
bothref99_annots.tsv	BGC0000098__ABA02240.1	BGC0000098__ABA02240.1	mkB|Polyketide (monacolin K)|polyketide synthase (biosynthetic)	Monascus pilosus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000098__ABA02240.1	None	None	None
bothref99_annots.tsv	BGC0000099__ADH01663.1	BGC0000099__ADH01663.1	-|Polyketide (monascorubrin)|putative polyketide synthase PKS3 (biosynthetic)	Talaromyces marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	BGC0000099__ADH01663.1	None	None	None
bothref99_annots.tsv	BGC0000104__ADY00130.1	BGC0000104__ADY00130.1	mpaC|Polyketide/Terpene (mycophenolic acid)|polyketide synthase (biosynthetic)	Penicillium brevicompactum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000104__ADY00130.1	None	None	None
bothref99_annots.tsv	BGC0000107__CBF74114.1	BGC0000107__CBF74114.1	wA|Polyketide (naphthopyrone)|Conidial yellow pigment biosynthesis polyketide synthase (PKS)(EC 2.3.1.-) [Source:UniProtKB/Swiss-Prot;Acc:Q03149] (biosynthetic)	Aspergillus nidulans FGSC A4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000107__CBF74114.1	None	None	None
bothref99_annots.tsv	BGC0000120__AIG62146.1	BGC0000120__AIG62146.1	patK|Polyketide (patulin)|6-methylsalicylic acid synthase (biosynthetic)	Penicillium expansum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000120__AIG62146.1	None	None	None
bothref99_annots.tsv	BGC0000121__AGO59040.1	BGC0000121__AGO59040.1	ptaA|Polyketide (RES-1214-2)|PtaA (biosynthetic)	Pestalotiopsis fici	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	BGC0000121__AGO59040.1	None	None	None
bothref99_annots.tsv	BGC0000129__EAL89230.2	BGC0000129__EAL89230.2	AFUA_6G13930|Polyketide (pyripyropene A)|LovB-like polyketide synthase, putative (biosynthetic)	Aspergillus fumigatus Af293	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000129__EAL89230.2	None	None	None
bothref99_annots.tsv	BGC0000134__ACD39770.1	BGC0000134__ACD39770.1	Rdc1|Polyketide (radicicol)|non-reducing polyketide synthase (biosynthetic)	Pochonia chlamydosporia	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	BGC0000134__ACD39770.1	None	None	None
bothref99_annots.tsv	BGC0000134__ACD39774.1	BGC0000134__ACD39774.1	Rdc5|Polyketide (radicicol)|reducing polyketide synthase (biosynthetic)	Pochonia chlamydosporia	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	BGC0000134__ACD39774.1	None	None	None
bothref99_annots.tsv	BGC0000146__BAJ09789.1	BGC0000146__BAJ09789.1	sol1|Polyketide (solanapyrone D)|polyketide synthase (biosynthetic)	Alternaria solani	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	BGC0000146__BAJ09789.1	None	None	None
bothref99_annots.tsv	BGC0000152__AAC49191.1	BGC0000152__AAC49191.1	stcA|Polyketide (sterigmatocystin)|putative polyketide synthase (biosynthetic)	Aspergillus nidulans	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000152__AAC49191.1	None	None	None
bothref99_annots.tsv	BGC0000154__EED18001.1	BGC0000154__EED18001.1	TSTA_117750|Polyketide (stipitatic acid)|NR-PKS (biosynthetic)	Talaromyces stipitatus ATCC 10500	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	BGC0000154__EED18001.1	None	None	None
bothref99_annots.tsv	BGC0000156__AEN83889.1	BGC0000156__AEN83889.1	adaA|Polyketide (TAN-1612/1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione/desmethyl TAN-1612)|AdaA (biosynthetic)	Aspergillus niger	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000156__AEN83889.1	None	None	None
bothref99_annots.tsv	BGC0000160__EAU32819.1	BGC0000160__EAU32819.1	ATEG_06275|Polyketide (terreic acid)|6-methylsalicylic acid synthase (biosynthetic)	Aspergillus terreus NIH2624	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000160__EAU32819.1	None	None	None
bothref99_annots.tsv	BGC0000161__EAU38791.1	BGC0000161__EAU38791.1	ATEG_00145|Polyketide (isoterrein)|hypothetical protein (biosynthetic)	Aspergillus terreus NIH2624	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000161__EAU38791.1	None	None	None
bothref99_annots.tsv	BGC0000168__ADI24926.1	BGC0000168__ADI24926.1	VrtA|Polyketide (viridicatumtoxin/previridicatumtoxin/5-hydroxyanthrotainin/8-O-desmethylanthrotainin)|VrtA (biosynthetic)	Penicillium aethiopicum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000168__ADI24926.1	None	None	None
bothref99_annots.tsv	BGC0000170__EHA22196.1	BGC0000170__EHA22196.1	ASPNIDRAFT_44965|Polyketide (yanuthone D)|polyketide synthase (biosynthetic)	Aspergillus niger ATCC 1015	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000170__EHA22196.1	None	None	None
bothref99_annots.tsv	BGC0000334__simG	BGC0000334__simG	simG|NRP (cyclosporin)|unknown protein (biosynthetic)	Tolypocladium inflatum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	BGC0000334__simG	None	None	None
bothref99_annots.tsv	BGC0000682__EAU29529.1	BGC0000682__EAU29529.1	ATEG_10080|Terpene (terretonin)|hypothetical protein (biosynthetic)	Aspergillus terreus NIH2624	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000682__EAU29529.1	None	None	None
bothref99_annots.tsv	BGC0000684__CBF70387.1	BGC0000684__CBF70387.1	ANIA_06000|Polyketide (asperthecin)|polyketide synthase, putative (JCVI) (biosynthetic)	Aspergillus nidulans FGSC A4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000684__CBF70387.1	None	None	None
bothref99_annots.tsv	BGC0000959__CBF80487.1	BGC0000959__CBF80487.1	ANIA_08412|NRP/Polyketide (aspyridone A/aspyridone B)|hybrid PKS-NRPS (Eurofung) (biosynthetic)	Aspergillus nidulans FGSC A4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000959__CBF80487.1	None	None	None
bothref99_annots.tsv	BGC0000968__CAO91861.1	BGC0000968__CAO91861.1	cheA|NRP/Polyketide (chaetoglobosin A/chaetoglobosin C)|PKS-NRPS hybrid (biosynthetic)	Penicillium expansum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000968__CAO91861.1	None	None	None
bothref99_annots.tsv	BGC0000977__BAK26562.1	BGC0000977__BAK26562.1	cpaA|NRP/Polyketide (cyclopiazonic acid)|PKS-NRPS hybrid (biosynthetic)	Aspergillus oryzae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000977__BAK26562.1	None	None	None
bothref99_annots.tsv	BGC0000983__EAW09117.1	BGC0000983__EAW09117.1	ACLA_078660|NRP/Polyketide (cytochalasin E/cytochalasin K)|hybrid NRPS/PKS enzyme, putative (biosynthetic)	Aspergillus clavatus NRRL 1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000983__EAW09117.1	None	None	None
bothref99_annots.tsv	BGC0000992__AAV66110.2	BGC0000992__AAV66110.2	fsdS|NRP/Polyketide (fusaridione A/(3R,5S)-5-(4-hydroxybenzyl)-3-methyl-3-((2E,4E,6E,8E,10E)-4,8,10-trimethyldodeca-2,4,6,8,10-pentaenoyl)pyrrolidine-2,4-dione)|fusaridione A synthetase (biosynthetic)	Fusarium heterosporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	BGC0000992__AAV66110.2	None	None	None
bothref99_annots.tsv	BGC0001026__ACS68554.1	BGC0001026__ACS68554.1	-|NRP/Polyketide (NG-391)|hybrid PKS-NRPS protein (biosynthetic)	Metarhizium anisopliae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	BGC0001026__ACS68554.1	None	None	None
bothref99_annots.tsv	BGC0001030__AUS29495.1	BGC0001030__AUS29495.1	-|NRP/Polyketide (ochratoxin A)|polyketide synthase (biosynthetic)	Penicillium nordicum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001030__AUS29495.1	None	None	None
bothref99_annots.tsv	BGC0001035__EPE34340.1	BGC0001035__EPE34340.1	GLAREA_10034|Polyketide/NRP (pneumocandin B0/pneumocandin A0)|polyketide synthase (biosynthetic)	Glarea lozoyensis ATCC 20868	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	BGC0001035__EPE34340.1	None	None	None
bothref99_annots.tsv	BGC0001037__EAL85113.2	BGC0001037__EAL85113.2	AFUA_8G00540|NRP/Polyketide (pseurotin/azaspirene)|hybrid PKS-NRPS enzyme (biosynthetic)	Aspergillus fumigatus Af293	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001037__EAL85113.2	None	None	None
bothref99_annots.tsv	BGC0001049__CAL69597.1	BGC0001049__CAL69597.1	tens|NRP/Polyketide (tenellin)|PKS-NRPS (biosynthetic)	Beauveria bassiana	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	BGC0001049__CAL69597.1	None	None	None
bothref99_annots.tsv	BGC0001057__ABB90282.1	BGC0001057__ABB90282.1	PKS13|NRP/Polyketide (zearalenone)|polyketide synthase (biosynthetic)	Fusarium graminearum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	sp|A0A098D6U0|ZEA1_GIBZE	None	None	None
bothref99_annots.tsv	BGC0001057__ABB90283.1	BGC0001057__ABB90283.1	PKS4|NRP/Polyketide (zearalenone)|polyketide synthase (biosynthetic)	Fusarium graminearum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	sp|A0A098D8A0|ZEA2_GIBZE	None	None	None
bothref99_annots.tsv	BGC0001067__EAL85129.1	BGC0001067__EAL85129.1	AFUA_8G00370|Polyketide/Terpene (fumagillin/beta-trans-bergamotene/fumagillol)|polyketide synthase (biosynthetic)	Aspergillus fumigatus Af293	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001067__EAL85129.1	None	None	None
bothref99_annots.tsv	BGC0001118__EAL84397.1	BGC0001118__EAL84397.1	AFUA_4G00210|Polyketide (endocrocin)|polyketide synthase (biosynthetic)	Aspergillus fumigatus Af293	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001118__EAL84397.1	None	None	None
bothref99_annots.tsv	BGC0001122__EAU38971.1	BGC0001122__EAU38971.1	ATEG_00325|NRP/Polyketide (dihydroisoflavipucine/isoflavipucine)|PKS-NRPS hybrid (biosynthetic)	Aspergillus terreus NIH2624	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001122__EAU38971.1	None	None	None
bothref99_annots.tsv	BGC0001124__EHA19289.1	BGC0001124__EHA19289.1	ASPNIDRAFT_179585|Polyketide (pyranonigrin E)|hypothetical protein (biosynthetic)	Aspergillus niger ATCC 1015	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001124__EHA19289.1	None	None	None
bothref99_annots.tsv	BGC0001136__ADN43685.1	BGC0001136__ADN43685.1	PKS-NRPS|NRP/Polyketide (desmethylbassianin)|PKS-NRPS (biosynthetic)	Beauveria bassiana	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	BGC0001136__ADN43685.1	None	None	None
bothref99_annots.tsv	BGC0001141__AIA58899.1	BGC0001141__AIA58899.1	HRPKS|Polyketide (4-epi-15-epi-brefeldin A)|HRPKS (biosynthetic)	Penicillium brefeldianum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001141__AIA58899.1	None	None	None
bothref99_annots.tsv	BGC0001143__EHA28237.1	BGC0001143__EHA28237.1	ASPNIDRAFT_56946|Polyketide (azanigerone A/azanigerone B/azanigerone C/azanigerone D/azanigerone E/azanigerone F)|hypothetical protein (biosynthetic)	Aspergillus niger ATCC 1015	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001143__EHA28237.1	None	None	None
bothref99_annots.tsv	BGC0001143__EHA28244.1	BGC0001143__EHA28244.1	ASPNIDRAFT_188817|Polyketide (azanigerone A/azanigerone B/azanigerone C/azanigerone D/azanigerone E/azanigerone F)|hypothetical protein (biosynthetic)	Aspergillus niger ATCC 1015	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001143__EHA28244.1	None	None	None
bothref99_annots.tsv	BGC0001144__EGD99348.1	BGC0001144__EGD99348.1	TESG_06702|Polyketide (neosartoricin B)|polyketide synthase (biosynthetic)	Trichophyton tonsurans CBS 112818	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	BGC0001144__EGD99348.1	None	None	None
bothref99_annots.tsv	BGC0001182__XP_001220460.1	BGC0001182__XP_001220460.1	CHGG_01239|NRP/Polyketide (chaetoglobosins)|uncharacterized protein (biosynthetic)	Chaetomium globosum CBS 148.51	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	BGC0001182__XP_001220460.1	None	None	None
bothref99_annots.tsv	BGC0001187__AKL78824.1	BGC0001187__AKL78824.1	glpks3|NRP/Polyketide (xenolozoyenone)|GLPKS3 (biosynthetic)	Glarea lozoyensis	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	BGC0001187__AKL78824.1	None	None	None
bothref99_annots.tsv	BGC0001190__EWG54266.1	BGC0001190__EWG54266.1	FVEG_12523|Polyketide (fusaric acid)|hypothetical protein (biosynthetic)	Fusarium verticillioides 7600	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	BGC0001190__EWG54266.1	None	None	None
bothref99_annots.tsv	BGC0001205__KGO40478.1	BGC0001205__KGO40478.1	PEXP_030540|Polyketide (communesin A/communesin B/communesin C/communesin D/communesin E/communesin G/communesin H)|Acyl transferase/acyl hydrolase/lysophospholipase (biosynthetic)	Penicillium expansum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0001205__KGO40478.1	None	None	None
bothref99_annots.tsv	BGC0001218__AKC54422.1	BGC0001218__AKC54422.1	fumoS|NRP/Polyketide (fumosorinone)|fumosorinone biosynthesis polyketide synthase (biosynthetic)	Cordyceps fumosorosea	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	BGC0001218__AKC54422.1	None	None	None
bothref99_annots.tsv	BGC0001242__CCE67070.1	BGC0001242__CCE67070.1	fsr1|Polyketide (oxyjavanicin)|polyketide synthase (biosynthetic)	Fusarium fujikuroi	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	BGC0001242__CCE67070.1	None	None	None
bothref99_annots.tsv	BGC0001244__AIW00670.1	BGC0001244__AIW00670.1	mlnS|Polyketide ((-)-Mellein)|mellein synthase (biosynthetic)	Parastagonospora nodorum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	BGC0001244__AIW00670.1	None	None	None
bothref99_annots.tsv	BGC0001245__AHV78245.1	BGC0001245__AHV78245.1	lasS1|Polyketide (lasiodiplodin)|LasS1 (biosynthetic)	Lasiodiplodia theobromae	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	BGC0001245__AHV78245.1	None	None	None
bothref99_annots.tsv	BGC0001245__AHV78247.1	BGC0001245__AHV78247.1	lasS2|Polyketide (lasiodiplodin)|LasS2 (biosynthetic)	Lasiodiplodia theobromae	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	BGC0001245__AHV78247.1	None	None	None
bothref99_annots.tsv	BGC0001246__AHV78252.1	BGC0001246__AHV78252.1	resS1|Polyketide (trans-resorcylide)|ResS1 (biosynthetic)	Sarocladium zeae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	BGC0001246__AHV78252.1	None	None	None
bothref99_annots.tsv	BGC0001246__AHV78253.1	BGC0001246__AHV78253.1	resS2|Polyketide (trans-resorcylide)|ResS2 (biosynthetic)	Sarocladium zeae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	BGC0001246__AHV78253.1	None	None	None
bothref99_annots.tsv	BGC0001252__BAN19720.1	BGC0001252__BAN19720.1	ACRTS2|Polyketide (UNII-YC2Q1O94PT)|polyketide synthase (biosynthetic)	Alternaria alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	BGC0001252__BAN19720.1	None	None	None
bothref99_annots.tsv	BGC0001254__BAJ14522.1	BGC0001254__BAJ14522.1	ACTTS3|Polyketide (ACT-Toxin II)|polyketide synthase (biosynthetic)	Alternaria alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	BGC0001254__BAJ14522.1	None	None	None
bothref99_annots.tsv	BGC0001255__AGO86662.1	BGC0001255__AGO86662.1	eqxS|NRP/Polyketide (equisetin)|equisetin synthetase (biosynthetic)	Fusarium heterosporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	BGC0001255__AGO86662.1	None	None	None
bothref99_annots.tsv	BGC0001257__AAD38786.1	BGC0001257__AAD38786.1	pks1|Polyketide (1,3,6,8-tetrahydroxynaphthalene)|polyketide synthase (biosynthetic)	Nodulisporium sp. ATCC74245	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	BGC0001257__AAD38786.1	None	None	None
